K,logK,RGB
113017,5.0531,#9bb2ff
56701,4.7536,#9eb5ff
33605,4.5264,#a3b9ff
22695,4.3559,#aabfff
16954,4.2293,#b2c5ff
11677,4.0673,#c4d2ff
10395,4.0168,#ccd8ff
9531,3.9791,#d3ddff
8917,3.9502,#dae2ff
8455,3.9271,#dfe5ff
8084,3.9076,#e4e9ff
7767,3.8903,#e9ecff
7483,3.8741,#eeefff
7218,3.8584,#f3f2ff
6967,3.8430,#f8f6ff
6728,3.8279,#fef9ff
6500,3.8129,#fff9fb
6285,3.7983,#fff7f5
6082,3.7840,#fff5ef
5895,3.7705,#fff3ea
5722,3.7575,#fff1e5
5563,3.7453,#ffefe0
5418,3.7338,#ffeddb
5286,3.7231,#ffebd6
5164,3.7130,#ffe9d2
5052,3.7035,#ffe8ce
4948,3.6944,#ffe6ca
4849,3.6857,#ffe5c6
4755,3.6772,#ffe3c3
4664,3.6688,#ffe2bf
4576,3.6605,#ffe0bb
4489,3.6521,#ffdfb8
4405,3.6439,#ffddb4
4322,3.6357,#ffdbb0
4241,3.6275,#ffdaad
4159,3.6190,#ffd8a9
4076,3.6102,#ffd6a5
3989,3.6009,#ffd5a1
3892,3.5902,#ffd29c
3779,3.5774,#ffd096
3640,3.5611,#ffcc8f
3463,3.5395,#ffc885
3234,3.5097,#ffc178
2942,3.4686,#ffb765
2579,3.4115,#ffa94b
2150,3.3324,#ff952
1675,3.2240,#ff7b00
1195,3.0774,#ff5200
